full_text,predicted_insurance_labels,true_labels
Attic N Reality sro real estate agency locate Praha 5 Czech Republic company specialize real estate service property sale purchase rental development project residential real estate offer legal service include collaboration mortgage bank option apply loan mortgage property agency place great importance transparency sale process professionalism real estate agent employee additionally Attic r reality s Form N Ingenieriering involve realty development project real estate services legal services property acquisition brokerage services property management services tax declaration processing project development real estate sales and rentals residential properties services real estate  agents  managers offices of real estate agents and brokers,"['real estate services', 'legal services', 'rendering services']","['real estate services', 'legal services']"
Petlas Tyres tire manufacture company offer wide range tire driving condition provide summer winter tire different type vehicle include car suv 4x4s Petlas offer tire finder tool allow customer search tire base vehicle model provide information tire tread compound company offer variety tire brand include Ako Akocm Ako CRM tire portal dealer sell product 4x4 suv tires tyre manufacturer pro green pt525 multi action pt565 snow master w601 elegant pt311 manufacturing breaks wheels  tire dealers tire manufacturing except retreading,"['rubber manufacturing', 'travel services', 'accessory manufacturing']",['tire manufacturing']
Diagnos 360 company dedicate precision medicine offer personalize treatment patient complex disease short possible time mission provide high quality process management solution patient affect complex disease coordinate excellent technical technological equipment worldwide specialize interventional oncology exciting fast grow area innovation cancer care Diagnos 360 offer new approach oncología intervencionista minimally invasive clinical specialty serve patient option provide chance prolong life maintain quality life offer rapid effective response patient complicated disease start diagnosis dimension continue multimodal treatment multimodal therapy coordination of technical and technological actions assistance in managing the treatment process precision medicine pathological anatomy rapid and focused responses personalized cancer treatment molecular biology medical imaging international second opinions medical clinic specializing in minimally invasive hormone replacement therapy services radiology clinic diagnostic imaging centers,"['corporate responsibility services', 'rendering services', 'advertising services']","['medical diagnostic services', 'precision medicine services']"
Sapi Bali Bojong Kulur cattle farm locate Gunung Putri West Java Indonesia agriculture cattle feedlot operations wholesale livestock  animal raising livestock merchant wholesalers,"['livestock dealer services', 'marketing services', 'animal feed manufacturing']",['livestock production']
specialize provide comprehensive service garden technology comprehensive service for garden technology comprehensive service provider retail services welding services other foundation structure and building exterior contractors,"['gardening services', 'welding services', 'landscaping services']","['retail services', 'welding services']"
Cacau Rô Vieira Chocolate Artisan company specialize artisanal chocolate product offer variety chocolate item order online delivery artisanal chocolate production manufacturing bakeries  desserts confectionery manufacturing from purchased chocolate,"['confectionery manufacturing', 'e-commerce services', 'rendering services']","['desserts, confectionery and nut retailers', 'confectionery manufacturing']"
Digi Tech Solution online portal provide information tip Nuclear Technology Education Technology Space Technology company aim stop blog technology relate information cover topic impact space technology science scientist investigation room relate environmental element development China hand starter aircraft carrier space information technology services information technology blogging manufacturing aircraft parts  services guided missile and space vehicle manufacturing,"['rendering services', 'content creation services']","['information technology services', 'aerospace and defense']"
Shanghai Yijian Intelligent Technology Co Ltd high tech enterprise specialize provide industrial grade 3d print application solution company base Shanghai China affiliate Chinese Academy Sciences 3d printing museum core concept meet user need focus application value systematic integration domestic international technology resource 3d printer design research development operation offer integrate development platform 3 d printing app provide user systemic 3 printing solution include 3d printer process material print service fast molding headquarters company locate Shanghai Baoshan Intelligent Bay Museum 3D Printing 3d printing solutions for various industries materials and processes rapid prototyping design research and development application development platform manufacturing industrial machinery  supplies all other industrial machinery manufacturing,"['printing services', 'seo services', 'stakeholder services']","['3d printing services', 'industrial machinery manufacturing']"
Mia R Kelly multimedia content creator base Los Angeles California specialize video produce video editing cinematography Mia work explore transnational identity human condition passionate create viral internet video social medium video platform work video editor Crooked Media YouTube page edit daily episode popular show like Pod save World Hysteria Lovett leave day Mia work creative lead ATTN original series need Embrace Afford life conceptualize market video execute pre production production post production duty video producer production assistant social medium intern Mia proficient Adobe Premiere Pro Adobe Photoshop Adobe Effects Final Cut Pro Microsoft Office Suite social media content creation media production services preproduction services social media video production media content creation services services video and audio production motion picture and video distribution,"['content creation services', 'media production services', 'social media services']","['media and entertainment', 'video and audio production']"
Alan King Group global brand group specialize apparel manufacturing private label service brand aking clothing manufacturing streamline process from manufacturing to marketing specialized quality control private label manufacturing garments made to customer specifications shoes handcut and sewn garments hangtags packaging denim zippers hats and jewelry marketing consulting expedited apparel production pipeline manufacturing clothing stores cut and sew apparel contractors,"['apparel manufacturing', 'branding services', 'quality assurance services']","['apparel manufacturing', 'private label manufacturing']"
Maderas Murga family own forestry sawmill company operation generation company specialize transformation pine wood know Insignis pine panel plank quality size Maderas Murry source raw material sustainable forest focus Radiata Pine proximity factory allow great control woodland pine wood for sawmilling woodenamel production woodworking cost estimation sawmill company panel production control of highgrade raw materials panel deck manufacturing wooden products manufacturing sustainable forest sourcing manufacturing wood building material stores sawmills,"['wood product manufacturing', 'corporate responsibility services', 'furniture manufacturing']","['wood product manufacturing', 'sawmills', 'sustainable forestry']"
Supeer Buy UE company offer wide range product category kitchen pet fashion beauty health fishing camping provide variety item include camera smartwatche laptop holder sneaker fitness equipment knee pad tennis shoe customer sign early sale access receive tailor new arrival trend promotion company offer coupon competitive price ultra smart watch kneepad releathertennis shoe knee pads exercise equipments fit products womens running shoes retailing braces summer shoes retail buyback shops warehouse clubs and supercenters,"['seo services', 'rendering services']","['retail services', 'warehouse clubs and supercenters']"
Fertilab BV young dynamic agricultural independent laboratory locate Dronten specialize soil plant matter water fertilizer analysis laboratory equip modern equipment believe principle measurement develop method Fertilyse soil analysis meet plant available nutrient Fertillab use prove natural chemical analysis method plant matter fertilizer team consist experienced customer orient laboratory employee open meet client need water analysis agriculture fertilizer application agricultural laboratory services plant material analysis soil analysis services environmental engineering services testing laboratories and services,"['laboratory services', 'soil nutrient application services', 'testing and inspection services']","['agricultural laboratory services', 'environmental testing services']"
GVG Glasfaserfaser GmbH german company specialize production high quality fiberglass product company place strong emphasis importance train employee establish academy GVG Akademie education training program academy offer range course training opportunity interested pursue career fiberglass industry academy learn material currently publicly accessible staffing services services glaziers  glass products glass and glazing contractors,['training services'],"['glass and glazing contractors', 'staffing services']"
Prima Rosa Studio company specialize create content project experience promote socially ethically aware innovation use emerge technology produce sound music immersive project promote awareness environmental issue improve wellbee current project include Music Wellbeing project use music enhance possibility create inner calm Climate Music collaborative project sonifie climate datum highlight global change environmental condition innovation studio climate change music immersion projects health and wellbeing improvement environmental awareness promotion immersive audiovisual projects music wellbeing project audio production services audiovisual experiences services art  music publishers other sound recording industries,"['content creation services', 'media production services', 'seo services']","['media and entertainment', 'sound recording and music publishing', 'environmental awareness projects']"
Shohola Ship Shop company provide packing shipping service item offer creative solution difficult package item drop location FedEx UPS Post Office label package company offer private mailbox digital fingerprinting service service point identogo Ship Shop provide notary service appointment secure location mail package available assist packing shipping need packing services notary services private mailbox passport photo services fingerprinting services wide format poster printing services postal service local messengers and local delivery,"['rendering services', 'seo services', 'corporate responsibility services']","['postal services', 'notary services', 'local messengers and local delivery']"
Zahradnipitko company operate e shop offer variety product sale accept online payment gardening supplies wholesale handmade  crafts marketplace other miscellaneous nondurable goods merchant wholesalers,"['gardening services', 'e-commerce services', 'arts services']","['gardening supplies', 'handmade goods marketplace', 'miscellaneous nondurable goods wholesalers']"
secure Key Supply company specialize provide key blank locksmith supply locksmith tool commercial locksmith business individual offer range product include key fobs lock related item company know provide quality key affordable price ford fiesta 4button remote head key key blanks supplier retail ford f150 5button smart key honda acura transponder key key blanks for commercial locksmiths wholesale hardware stores hardware merchant wholesalers,['rendering services'],"['hardware merchant wholesalers', 'locksmith supplies']"
company online platform provide free black white video view offer variety video different purpose include child child entertainment child youth child disability child age child clothing offer video team uniform photo dress embroidery additionally company provide platform business view black grey video online coloring products manufacturing fabricbased home goods textile and fabric finishing mills,"[""children's clothing manufacturing""]","['textile and fabric finishing mills', 'fabric-based goods manufacturing', 'children’s entertainment media']"
Jiangsu Jiansi Education Technology Co Ltd chinese company operate industry include furniture manufacturing composite material decoration insurance metal mining musical instrument electronic gift engineering contracting toy plastic building material company approve project accord law authorize start operation related sector Jiangsu Jianci Education Technology locate central region China subsidiary Ministry Industry Commerce responsible promote business reform improve country industrial structure corporation aim increase core competitiveness strengthen partnership industry professional expand market presence domestically internationally  manufacturing custom furniture custom architectural woodwork and millwork manufacturing,"['furniture manufacturing', 'wood product manufacturing', 'plastic manufacturing']","['custom furniture manufacturing', 'architectural woodwork', 'miscellaneous manufacturing']"
Gilgal Power Systems Ltd establish company extensive experience field power system specialize designing manufacturing product industrial military aerospace application include rugged power supply input circuit protection circuit product base modular concept allow multiple combination wide range input output voltage current Gilgial offer custom power product match customer application promise quick response inquiry product range focus military industrial automotive market offer comprehensive range standard product input power protection seal military power adaptor 3u power supply 250w rugged military PS 60W GIAL Power Systems commit quality assurance operate compliance Iso9001 specialize electronic assembly IPC A610F Class III iso 9001 certification military power supplies manufacturer active filters manufacturer circuit protection manufacturer customized power electronics products manufacturer power system design and manufacturing manufacturing electric supplies  power generation all other miscellaneous electrical equipment and component manufacturing,"['quality assurance services', 'stakeholder services']","['electrical equipment manufacturing', 'military power supplies', 'customized power electronics']"
Radio Baranja croatian radio station provide news information listener station cover range topic include politic economy sport culture music list report current event activity Baranje region construction cultural center Belom Manastiru opening new parking lot Belog Manastira additionally Radio Baranija provide update late development region include construction development new parking facility expansion tourism activity top 10 lists marketing analysis information boxes culture analysis political analysis sports analysis music analysis live services investment opportunities in europe media and publishing services radio networks  stations radio broadcasting stations,"['content creation services', 'rendering services', 'marketing services']","['media and publishing services', 'radio broadcasting stations']"
NanChang Ruiwor Technology Co Ltd know RuiWor Group company specialize design production anti theft display product insurance equipment electronic product shelf billboard display board product widely store China Mobile China Unicom China Telecom Nokia Lenovo SONY Apple specialty store trademark clothing shop glass multiple shop Su Ning GOME Walmart company focus retractable security tether 11 year offer range product include security cable cable lock retractable coil cord badge reel cable retractor retractable solution offer cable end accessory cable grip pull reel key chain manufacturer cute retractable badge holder retractable cables design and production double loop security cable manufacturer cable locks retail security pull box remote control security cable customization options for security cable heavy duty badge reels insurance equipment antitheft display products anti lost recoiler retraction coil cords retractables key ring heavy duty wall shelves manufacturing cables  wires currentcarrying wiring device manufacturing,"['accessory manufacturing', 'stakeholder services', 'insurance services']","['cables and wiring device manufacturing', 'retail security solutions', 'anti-theft display equipment']"
Purmuesli german company produce organic muesli high quality raw material add sugar additive mueslis palm oil palm fat soy test bio quality offer variety flavor include blueberry crunchy cocoa remorse sour cherry mango cocoa crunchy oat purmuesly provide freeze dry fruit strawberry apple raspberry blueberry company pride organic product avoid additive include consider harmful purlmuesali aim provide healthy delicious alternative traditional mueslic focus natural nutrient flavor organic food production organic muesli without added sugar b2b sales organic raw materials natural proteins food manufacturing freeze dried fruits organic apple cubes dried 100g muesli manufacturer production nonsweetened cereals manufacturing snack foods breakfast cereal manufacturing,['health promotion services'],"['breakfast cereal manufacturing', 'organic food production', 'freeze-dried fruit manufacturing']"
Drew Farm farm locate Westford Massachusetts United States apple products pumpkin products agricultural production apple cider donuts apple orchard cider production other noncitrus fruit farming services pumpkin cultivation agricultural products and services pumpkin patch gourd products manufacturing tree farms other noncitrus fruit farming,"['rendering services', 'non-profit management']","['other noncitrus fruit farming', 'pumpkin cultivation', 'tree farms']"
know Malteser Auftragsportal company provide platform business process order food delivery services online ordering platform userfriendly interface passwordprotected platform services painting plastering  wall covering painting and wall covering contractors,"['painting services', 'food processing services']","['painting and wall covering contractors', 'food delivery services', 'online ordering platforms']"
Techno Solutions mechanical design studio specialize provide technical engineering service party offer support company industrial sector ensure professionalism confidentiality high quality industry service include 2D 3d design development machinery production line prototype equipment industrial plant machine special automatic machine provide outsourcing service develop project study transposition of drawings services studies or projects outsourcing rolling mills heavy machinery networked computers 3d design services mechanical design studio technical services machinery services services other engineering services engineering services,"['millwork services', 'business development services', 'technology consulting']","['engineering services', 'mechanical design services', 'industrial machinery services']"
Uretek company specialize provide advanced solution ground consolidation foundation develop polymer call Uretek polymer derive mixture component undergo chemical reaction allow pass liquid solid second volume increase 30 time reach expansion pressure 10000 kPa ecoclay company offer novel coating wall panelling natural clay additive provide benefit humidity regulation high thermal inertia improve odour absorption sound insulation V3Solar develop new technology production photovoltaic energy reduce cost improve efficiency highdensity resin injection soil consolidation services solar capture improvement solar energy production systems construction materials manufacturing additivefree natural rubber coating manufacturing ready mix concrete supplier all other miscellaneous nonmetallic mineral product manufacturing,"['rubber manufacturing', 'chemical manufacturing', 'insulation services']","['soil consolidation services', 'solar energy production systems', 'construction materials manufacturing']"
company marketing organization specialize provide coating ink supply graphic industry offer range product include heat stamp tape varnish ink polychrome quick profiprint pantone basic prepare shade color sample sample meet specific preference customer color preparation services mark2 graphic supplies calibrated paper antiscratcher powders chemical sourcing solutions specialty inks and coatings manufacturer marketing varnishes on impression cleaning rollers heat stamping tapes manufacturing paints coatings dyes  pigments printing ink manufacturing,"['marketing services', 'ink production services', 'graphic design services']","['printing ink manufacturing', 'specialty inks and coatings', 'graphic supplies']"
trader team company specialize provide service relate trading offer range product service field online education blogging platform educational courses educational services live classes education driving schools automobile driving schools,['training services'],"['educational services', 'online education platforms', 'automobile driving schools']"
fungimama company specialize cultivation distribution Limburgse mushroom company run Wim Govaerts Annelies Hermans Katrien Colson help Gerarda Lamerichs support Genk surround area Fungimamas continue experiment fruiting chamber humidifier enthuse method raw material bring mushroom public team find new specie Pleurotus eryngii King Oyster Mushroom specimen weigh 100 gram oyster mushroom fruiting chambers raw materials mushroom cultivation humidification entomology methods manufacturing farms  agriculture production other food crops grown under cover,"['rendering services', 'non-profit management', 'stakeholder services']","['mushroom cultivation', 'agriculture production', 'farms']"
南宫28 chinese company specialize production sale diesel generator set include Manl1624 pc2 56 Manl3240 dk20 series offer emergency diesel generator unit LOT75 emergency diesel engine group company know stable operation high quality product online gaming platform star products online application development pc256 series diesel engines dk20 series online entertainment strategic spare parts line maintenance services manufacturing engines turbine and turbine generator set units manufacturing,['well maintenance services'],"['engine and generator manufacturing', 'online gaming platforms', 'online application development']"
Crosslink Powder Coating company specialize powder coat service variety application establish 2001 goal provide good value powder coating contribute client success offer stop shop stripping powder coating include old coating rust oxidization powder coating services metal coating and engraving striping services rust removal services manufacturing metal plating polishing  coloring metal coating engraving except jewelry and silverware and allied services to manufacturers,"['well maintenance services', 'rendering services']","['metal coating and engraving', 'powder coating services', 'rust removal services']"
Frannie Tours Charter Bus company operate New York area 30 year offer transportation service customer travel location include Penn Dutch Atlantic City company pride provide comfortable worry free experience customer focus ensure comfort transportation services charter bus dot approved icc approved services buses shuttles  local transit charter bus industry,"['travel services', 'rendering services', 'seo services']","['charter bus industry', 'transportation services', 'shuttles and buses']"
Cafe Vögele traditional bakery craft business locate Schwabmünchen Germany company found Alexander Münch history baking industry offer breakfast 8 11 café employment opportunities food and bakery businesses food and beverage food production retail manufacturing bakeries  desserts commercial bakeries,"['rendering services', 'bakery production services']","['commercial bakeries', 'food and bakery businesses', 'food production']"
Ravi Agrawal medical professional specialize nephrology internal medicine base Easton Pennsylvania United States  services nephrology clinic kidney dialysis centers,['rendering services'],"['nephrology clinic', 'kidney dialysis centers', 'medical services']"
Harris Tobias physical commodity trader found 1900 provide source supply transportation service food manufacturer animal feed business bio energy operator UK Europe sourcing and transportation services physical commodities trading transportation services supply services wholesale renewable energy companies other electric power generation,"['animal feed manufacturing', 'rendering services', 'pet food manufacturing']","['physical commodities trading', 'transportation services', 'wholesale renewable energy companies']"
PATAGONIA Chapa Y Pintura auto body shop locate Comodoro Rivadavia Chubut Province Argentina company specialize provide auto body repair service automotive body repair services interior repair services services auto body shops automotive body paint and interior repair and maintenance,"['painting services', 'seo services']","['auto body shops', 'automotive body paint and interior repair and maintenance', 'automotive body repair services']"
AGENZIA onoranze FUNEBRI LA GRAZIA funeral home locate Comiso Sicily Italy funeral service funeral arrangements cremation services free ambulance services modern fleet of vehicles transportation services burial ceremonies services funeral services  cemeteries funeral homes and funeral services,"['rendering services', 'stakeholder services']","['funeral homes and funeral services', 'burial ceremonies services', 'cremation services']"
ANSARI TYRE tire shop locate Muzaffarpur Bihar India establishment offer store shopping delivery service equip wheelchair accessible entrance parking recycle facility available shop accept cash mobile payment instore shopping recycling facility vehicle accesswheelchair entrances tire dealers mobile payment solutions retail breaks wheels  tire dealers tire dealers,"['recycling services', 'community engagement services', 'corporate responsibility services']","['tire dealers', 'retail brakes wheels & tire dealers', 'recycling facility']"
Elazığ 1 High Security Prison correctional institution locate Elazıg Turkey high security prison city operate Ministry Justice oversee Constitutional Court Supreme Court Council Judges Prosecutors Dispute Court institution Forensic Institute Turkey Academy Justice Ministry Finance manage financial operation institution correctional services highsecurity prison forensic institution constitutional court funding for former prisoners ejustice citizenship application money investment operations healthcare services visitor building council of judges and prosecutors hajj license ceremony social psychology services highsecurity institution educational services dispute court government courthouses correctional institutions,"['rendering services', 'stakeholder services', 'legal services']","['correctional institutions', 'courthouses', 'educational services']"
Welter family own business specialize high quality roofing solution terrace carport winter garden offer range product include glass cube style terrace roof integrated rain gutter roofing exist wood beam glass roof durable aluminum weather resistant long lasting offer custom double glaze roofing panel high quality expand appropriate accessory window slide door triangle shape door addition roofing provide slide system panel related component Welter Cube Terrassendach new addition product line side elements winter gardens manufacturer fences manufacturer manufacturing glass roofs manufacturer glazing panels manufacturer cube roof retail carports manufacturer shading systems manufacturer production glass doors manufacturer sliding systems manufacturing metal roofing prefabricated metal building and component manufacturing,"['gardening services', 'accessory manufacturing', 'well maintenance services']","['manufacturing glass roofs', 'prefabricated metal building and component manufacturing', 'sliding systems manufacturing']"
think Earth company focus provide information resource relate mesothelioma sarcoma type skin cancer develop sarcomatoid cell locate pleura lining lung offer information different type mesothelial cancer include pleural mesotheoma peritoneal mesotheremia pericardial mesothetioma company provide tip find rental apartment suit need include identify need research available option emphasize importance research option base basic feature look apartment rental apartments for mesothelial patients information and resource provider asbestosrelated legal services mesothelioma sarcoma information and resources services environmental engineering services engineering services,"['stakeholder services', 'health promotion services', 'rendering services']","['mesothelioma sarcoma information and resources', 'environmental engineering services', 'asbestos-related legal services']"
Angel Ramirez individual categorize investment service base Zapopan Jalisco Mexico guadalajara real estate services highrisk and highperformance opportunities leasing services business financing solutions investment management services personalized and tailored services miscellaneous intermediation mortgage services credit history services financial advisory services independent advice services mortgage brokers real estate credit,"['real estate services', 'financial services', 'property management services']","['financial advisory services', 'investment management services', 'mortgage brokers']"
Pop Art Studio company specialize transform vintage retro photo cool vintage colorful image style pop art offer beautiful animation old picture provide desktop wallpaper image Windows 10 vintage photo transformation pop art windows 10 beautiful animations of old pictures calling you music desktop wallpaper services photographers  photographic studios photofinishing laboratories except onehour,['arts services'],"['photofinishing laboratories except one-hour', 'photographers & photographic studios', 'desktop wallpaper services']"
Boyd Gate Repair company base Boyd Texas specialize provide gate repair service offer wide range service include residential electric automatic swing gate repair gate installation cleaning team skilled professional extensive experience repair type gate offer tailor solution meet specific need client conduct thorough inspection provide reliable service ensure peace mind satisfaction 247 availability fast response time Boyd Gate Repair guarantee time service appointment affordable pricing commit deliver high quality gate repair ensure safety satisfaction customer gate opener installation 247 emergency services prompt and professional assistance thorough and detailed inspections security services services elevators  ramps  installation  service other building equipment contractors,"['residential electrical services', 'multi-family construction services', 'testing and inspection services']","['other building equipment contractors', 'security services', 'gate opener installation']"
Květinářství small flower shop specialize cut flower offer variety seasonal flower indoor outdoor use home decor company pride passion flower aim provide customer beautiful fresh flower addition selection flower offer flower arrangement special occasion Mother Day floral arrangement services floral arrangements for gardens gift items retail seasonal flower arrangements wholesale florists flower nursery stock and florists supplies merchant wholesalers,"['rendering services', 'seo services', 'stakeholder services']","['retail seasonal flower arrangements', 'floral arrangement services', 'wholesale florists']"
MaxBalk quality conscious armored vehicle manufacturer specialize design engineering prototyping manufacturing armored commercial tactical vehicle armored component ballistic glass framing system offer range armored vehicle include design demand feature pneumatic protection opaque clear armor runflat extreme condition lightweight armor gun port protection stone pelting MaxBalk mission design develop armored vehicle security cabin meet client requirement vision provide state art technology suitable finish product meet exceed expectation offer armored SUVs pickup body armor jacket plate meet NIJ standard lightweight armor design  development personal protection ballistic glass and framing systems design and engineering framing plans bullion and cash transfer vehicles tactical vehicles gun ports armor portacabins manufacturermanufacturerassembling design engineering prototyping and manufacturing security cabin body armor jackets with plates design services prototyped products beautiful interiors specialized breaking and suspension systems security cabins manufacturer security systems integrator watch towers manufacturerassemblemanufacturing armored vehicle design tactical operations manufacturing electronical components manufacturing military armored vehicle tank and tank component manufacturing,"['cabinetry manufacturing', 'well maintenance services', 'arts services']","['manufacturing military armored vehicle', 'armored vehicle design', 'security systems integrator']"
Yangjiang Wintools ScienceTechnology Co Ltd professional manufacturer establish 2018 specialize production outdoor camping tool tactical pen fold knife multi functional shovel axis survival kit related item modern plant equip advanced production line include CNC machine center CNC lathe milling complex axis milling machine company monthly production capacity 100000 piece know superior quality product popular customer worldwide company commit provide quality product prompt delivery professional service offer wide range product model package design cater wholesaler large retailer renowned brand company outdoor tools manufacturer exporting fire starters manufacturer camping knives manufacturer axe manufacturer tactical pens manufacturer tactical shovel manufacturer flash lights manufacturer manufacturing hardware stores saw blade and handtool manufacturing,"['accessory manufacturing', 'fire safety equipment services', 'stakeholder services']","['saw blade and handtool manufacturing', 'camping knives manufacturer', 'tactical shovel manufacturer']"
Barber Storage Yucca Valley storage facility locate Fairfield California United States storage facilities storage solutions wheelchair accessible entrance services warehousing  storage freight transportation arrangement,['rendering services'],"['warehousing & storage', 'storage facilities', 'freight transportation arrangement']"
Total EP Angola online store base Luanda Angola offer complete range product service relate oil gas exploration production EP ecommerce platform services development personalized advertising and content measurement online retail audience research and services development manufacturing oil  gas  extraction  distribution drilling oil and gas wells,"['e-commerce services', 'gas manufacturing services', 'online marketing services']","['oil and gas wells drilling', 'online retail', 'oil & gas exploration and production services']"
Tomas direct manufacturer cabinet furniture locate St Petersburg Pushkin Len region specialize produce cabinet furniture commercial surcharge short time advantage lie location territory large furniture production warehouse contain laminated Plywood material fitting allow quick production cabinet furnishing offer variety modern material create comfortable area apartment cottage include cupboard shelf bed set custom furniture accord customer drawing use time test material lead manufacturer Egger Kronospan Szeksna late type fitting achieve modern furniture different configuration functionality Tomas modern woodworke machine good partnership material supplier affect delivery time order kitchen design and installation services installation services kitchen and bathroom design custommade wardrobes design  manufacturing custommade furniture manufacturing custommade kitchens manufacturing furniture stores upholstered household furniture manufacturing,"['furniture manufacturing', 'wood product manufacturing', 'cabinetry manufacturing']","['custom-made furniture manufacturing', 'kitchen and bathroom design', 'furniture stores']"
Virtual Ease company offer range service help streamline daily task business team experienced executive virtual assistant provide assistance scheduling appointment manage email phone call run errand offer email management datum entry customer admin support project management service company pride excellent communication skill attention detail virtual assistant services data entry services admin  customer support services project management services services security guards  patrol services office administrative services,"['project management services', 'rendering services']","['office administrative services', 'virtual assistant services', 'admin & customer support services']"
